Name
Sirius
Alpha Centauri A
Vega
Arcturus
Capella
Rigel
Procyon
Achernar
Betelgeuse
Hadar
Canopus
Altair
Aldebaran
Antares
Spica
Pollux
Fomalhaut
Mimosa
Deneb
Regulus
Adhara
Shaula
Bellatrix
Elnath
Beta Car
Alnilam
Alpha Gru
Epsilon UMa
Alpha UMa
Mirfak
Wezen
Kaus Australis
Epsilon Car
Alkaid
Theta Sco
Beta Aur
Alpha TrA
Gamma Gem
Alpha Pav
Delta 01 Vel
Beta CMa
Alpha Gem A
Alpha Hya
V T CrB
Alpha Ari
Sigma Sgr
Alpha UMi
Beta Cet
Zeta Ori A
Alpha And
Beta And
Theta Cen
Kappa Ori
Beta UMi
Alpha Oph
Beta Gru
Beta Per
Beta Leo
Gamma Cen
Gamma Cyg
Lambda Vel
Gamma Dra
Alpha Cas
Alpha CrB
Zeta Pup
Iota Car
Beta Cas
Epsilon Sco
Epsilon Cen
Alpha Lup
Eta Cen
Delta Sco
Beta UMa
Alpha Phe
Epsilon Peg
Kappa Sco
Beta Peg
Eta Oph
Alpha Cep
Gamma UMa
Eta CMa
Epsilon Cyg
Gamma Cas
Alpha Peg
Kappa Vel
Alpha Cet
Zeta Cen
Zeta Oph
Delta Leo
Alpha Lep
Gamma Crv
Zeta Sgr
Gamma 01 Leo
Beta Lib
Theta Aur
Beta Ari
Alpha Col
Alpha Ser
Beta Crv
Eta Boo
Delta Cas
Beta Lup
Iota Aur
Upsilon Sco
Mu Vel
Alpha Mus
Epsilon Boo
Delta Sgr
Pi Pup
Gamma Aql
Delta Oph
Eta Dra
Iota Cen
Theta Car
Iota Ori
Beta Oph
Beta Her
Gamma Lup
Beta Eri
Beta Dra
Beta Hyi
Delta Cru
Lambda Sgr
Rho Pup
Zeta Her
Tau Sco
Gamma Peg
Epsilon Vir
Beta Lep
Beta Ara
Zeta Per
Beta TrA
Alpha Hyi
Alpha Tuc
Eta Tau
Delta Cap
Delta Cyg
Mu Gem
Pi Sgr
Pi Sco
Epsilon Per
Gamma TrA
Sigma Sco
Beta CMi
Beta Aqr
Gamma Per
Tau Pup
Eta Peg
Delta Crv
Gamma Eri
Alpha Ara
Alpha Aqr
Epsilon Gem
Epsilon Leo
Epsilon Aur
Gamma 02 Sgr
Zeta Aql
Gamma Hya
Beta Tri
Zeta Tau
Epsilon Crv
Delta Per
Gamma Gru
Upsilon Car
Psi UMa
Zeta CMa
Omicron 02 CMa
Iota 01 Sco
Gamma Boo
Mu Cen
Omicron Cet
Mu UMa
Beta Mus
Gamma UMi
Delta Dra
Mu 01 Sco
Alpha Ind
Zeta Hya
Eta Sgr
Nu Hya
Beta Col
Lambda Cen
Zeta Ara
Kappa Cen
Alpha Lyn
N Vel
Delta Her
Iota UMa
Pi Her
Zeta Dra
Theta UMa
Eta Aur
Nu Pup
Phi Sgr
Pi 03 Ori
Epsilon Lep
Alpha Cir
Kappa Oph
Zeta Cyg
G Sco
Gamma Cep
Delta Lup
Theta Aql
Beta Cep
Gamma Hyi
Gamma Lyr
Epsilon Oph
Theta 01 Eri
Sigma Pup
Eta Ser
Pi Hya
Alpha Dor
Alpha Pic
Delta And
Delta Aqr
Theta Oph
Eta Gem
Sigma Lib
Iota Dra
Delta UMa
Beta Phe
Mu Lep
p Car
Tau Sgr
Omega Car
Eta Sco
Nu Oph
Gamma Ara
Theta Leo
ksi Pup
Alpha Ret
Zeta Cep
Eta Ori
Delta Aql
Omicron UMa
ksi Gem
Zeta Vir
Epsilon Lup
Epsilon Hya
Delta Vir
Epsilon Cas
Rho Per
q Car
Theta 02 Tau
42 Peg
Eta Lup
Gamma Phe
Zeta Lup
Nu Cen
Alpha Tri
Beta Pav
Mu 01 Her
Eta Cep
Lambda Aql
a Car
Zeta Leo
Eta Cas
Beta Lyr
Lambda UMa
Eta Cet
Delta Boo
Gamma Sge
Chi Car
Lambda Tau
Sigma CMa
Gamma Cet
Alpha Her A
Nu UMa
Mu Peg
Epsilon Gru
Beta Boo
Tau Cet
ksi02 Sgr
Alpha Tel
Omicron Leo
Beta Cnc
Eta Leo
Iota Cep
Epsilon Tau
Mu Ser
Delta Gem
Theta Peg
Eta Her
Phi Vel
Lambda Ori A
ksi Ser
ksi Hya
Delta Eri
Zeta Lep
Iota Lup
Delta Pav
Upsilon 04 Eri
Delta Crt
Phi Eri
Phi 01 Lup
Iota Cet
Kappa Gem
Chi Dra
Alpha 02 Cap
Mu 02 Sco
Upsilon Per
Lambda Gem
Upsilon Lib
Rho Boo
Epsilon Cru
Omicron Tau
Theta Gem
Kappa UMa
Theta Cet
Tau Ori
Psi Vel
Lambda Hya
c Pup
Beta Vir
Eta Pav
Delta Ara
Omicron And
Delta Mus
Zeta 02 Sco
Eta Psc
Omicron Vel
Beta Del
41 Ari
27 Tau
Lambda Mus
Beta Ind
Gamma Vir
Gamma Tau
Alpha Dra
Theta Ara
c02 Aqr
Zeta Cas
Tau Lib
Beta Ser
h UMa
Beta CrB
Alpha Pyx
Gamma Cap
Tau 04 Eri
l Car
Pi 04 Ori
Gamma Psc
ksi Her
17 Tau
Chi Eri
Beta Aql
Epsilon Ser
Eta Lep
Chi UMa
ksi Cyg
109 Vir
Tau Cyg
Pi 05 Ori
Delta Aur
a Pup
72 Oph
Epsilon Eri
Zeta Cet
ksi Tau
Zeta Cap
Lambda Aqr
Gamma Oph
Gamma Her
Zeta Aur
c Vel
ksi Dra
Delta Cep
Nu Oct
Eta Ara
Beta Dor
Eta Per
Delta Tau
Iota Peg
Epsilon Aqr
Nu Per
Beta Vol
Kappa Cyg
Alpha Del
Alpha Lac
Omicron Sgr
u Car
Zeta Gem
Iota Cyg
Iota Gem
31 Cyg
Kappa Per
Upsilon UMa
Iota Her
Delta Ser A
Mu Hya
Delta Lep
Delta Sge
Lambda And
s Car
Upsilon 02 Eri
38 Lyn
Lambda Oph
Epsilon Dra
Omicron Her
Phi Cen
Alpha Aps
46 LMi
Omicron Per
109 Her
c Car
Gamma CrB
Theta 01 Tau
Lambda Dra
Gamma Aqr
b Vel
p Vel
Beta Pic
Gamma Ser
Alpha Sct
Omega CMa
Delta TrA
Rho Leo
q Vel
Delta Col
Beta Ret
Alpha Hor
Mu Sgr
Tau Cen
Theta Her
Mu And
Omicron 01 CMa
Epsilon Col
Gamma Mus
Kappa Dra
Alpha For
20 Tau
l Eri
Upsilon 01 Cen
Mu Leo
d Cen
Theta Hya
Rho Sco
Mu Vir
Epsilon Phe
Pi Cen
Eta Cyg
Eta Vir
Eta Eri
Tau Her
Gamma Aps
30 Mon
Eta Aql
Iota Gru
Nu Tau
Sigma Cen
Gamma Lib
Iota Hya
x Car
a Vel
Zeta Phe
Epsilon Her
Alpha Equ
Nu Eri
Alpha Mon
Rho 01 Sgr
Kappa Phe
Nu Cyg
Delta Cnc
Iota Leo
Lambda Peg
Nu 02 CMa
Delta Phe
Chi Lup
Tau Per
Zeta Vol
l Pup
43 Eri
Eta Col
Epsilon Pav
Kappa CMa
Rho Cen
Omega Sco
Alpha Sgr
67 Oph
i Car
Beta Pyx
Delta 01 Gru
Nu Aur
b01 Aqr
10 UMa
50 Cas
Gamma Mon
Delta Vol
Omicron 02 Cyg
Gamma Tuc
V R Hor
b Cen
Alpha Vol
Upsilon Cet
Beta 01 Sgr
41 Cyg
Theta Dra
Omega Psc
Zeta Pav
g UMa
Gamma Pyx
Gamma Tri
Tau Aqr
Rho Cyg
i Aql
Alpha Crv
Eta Aqr
Epsilon Aql
Mu Eri
Gamma 02 Nor
Nu Vir
Beta Cam
Epsilon Del
70 Oph
13 Lyr
ksi Per
c Per
Omicron 01 Eri
Zeta Cru
c01 Cen
Theta Boo
Rho Lup
Lambda Lup
Psi Cen
Iota Per
Sigma Leo
Zeta And
Upsilon Gem
Epsilon 01 Ara
Beta Cir
Theta Cap
Omicron 02 Ori
Theta CMa
Phi Per
Delta Cet
Alpha Cha
d Vel
Upsilon Boo
Iota Vir
Gamma Crt
1 Peg
Mu Cep
h Car
Alpha Crt
Delta Hyi
Upsilon And
Kappa Ser
Phi 02 Ori
Tau 03 Eri
Epsilon Mus
Omega Cap
Beta CrA
Delta 02 Gru
P Pup
